city,hotel_name,url,rating,description,city_id,latitude,longitude
Le Havre,Appartement agréable et confortable pour 4 personnes,https://www.booking.com/hotel/fr/bel-appartement-t2-le-havre.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvNuE0gbAAgHSAiQ4NDE4YzBkYS01MTVlLTQyOWQtYmE4MS00MTg4NzFkNzg3ODHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=38a464dee41e0300&srepoch=1782656450&from=searchresults,6.5,N/A,4,49.4938975,0.1079732
Le Havre,Ibis Budget Le Havre Les Docks,https://www.booking.com/hotel/fr/ibis-budget-le-havre-centre.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvNuE0gbAAgHSAiQ4NDE4YzBkYS01MTVlLTQyOWQtYmE4MS00MTg4NzFkNzg3ODHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=38a464dee41e0300&srepoch=1782656450&from=searchresults,8.0,N/A,4,49.4938975,0.1079732
Rouen,Novotel Rouen Centre Cathédrale,https://www.booking.com/hotel/fr/novotel-rouen-centre-cathedrale.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC1duE0gbAAgHSAiRlMDNiZDQxYS0xNGRlLTQxYzctOTRhNC0zZTY2MDE5M2Q1ZmXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=aeb764ea08ac0746&srepoch=1782656475&from_sustainable_property_sr=1&from=searchresults,8.5,N/A,5,49.4404591,1.0939658
Rouen,Le petit Rouen,https://www.booking.com/hotel/fr/le-petit-rouen-rouen.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC1duE0gbAAgHSAiRlMDNiZDQxYS0xNGRlLTQxYzctOTRhNC0zZTY2MDE5M2Q1ZmXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=aeb764ea08ac0746&srepoch=1782656475&from=searchresults,9.6,N/A,5,49.4152126,1.0726799
Rouen,Ibis Rouen Centre Rive Gauche Mermoz,https://www.booking.com/hotel/fr/campanile-rouen-mermoz.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC1duE0gbAAgHSAiRlMDNiZDQxYS0xNGRlLTQxYzctOTRhNC0zZTY2MDE5M2Q1ZmXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=aeb764ea08ac0746&srepoch=1782656475&from=searchresults,8.0,N/A,5,49.4404591,1.0939658
Paris,"JOIVY Premium flats in the heart of the 9th arr, near Moulin Rouge",https://www.booking.com/hotel/fr/altido-pleasant-1-bed-flat-with-shared-courtyard.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC79uE0gbAAgHSAiQzZDdhMGVhNS04ODczLTRlNzYtYjE0NS01NzU4ZmE3NTJiYjDYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=f58164f70ed905b7&srepoch=1782656501&from=searchresults,9.2,N/A,6,48.8534951,2.3483915
Paris,Hilton Paris Opera,https://www.booking.com/hotel/fr/hilton-paris-opera.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC79uE0gbAAgHSAiQzZDdhMGVhNS04ODczLTRlNzYtYjE0NS01NzU4ZmE3NTJiYjDYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=f58164f70ed905b7&srepoch=1782656501&from_sustainable_property_sr=1&from=searchresults,7.6,N/A,6,48.8757217,2.3258963
Paris,Hotel Abbatial Saint Germain,https://www.booking.com/hotel/fr/abbatial-st-germain.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC79uE0gbAAgHSAiQzZDdhMGVhNS04ODczLTRlNzYtYjE0NS01NzU4ZmE3NTJiYjDYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=f58164f70ed905b7&srepoch=1782656501&from=searchresults,8.7,N/A,6,48.8497498,2.3505242
Amiens,Moxy Amiens,https://www.booking.com/hotel/fr/campanile-amiens-centre-gare.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AonchNIGwAIB0gIkZWYwNjNkNGYtMWY1NS00NGMzLWE5NjUtOGY4NGMxYWI0ZDQy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=d7c16504dfea031e&srepoch=1782656527&from_sustainable_property_sr=1&from=searchresults,8.5,N/A,7,49.8911235,2.3094939
Amiens,DOMITYS - La Plume de Samara,https://www.booking.com/hotel/fr/domitys-la-plume-de-samara.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AonchNIGwAIB0gIkZWYwNjNkNGYtMWY1NS00NGMzLWE5NjUtOGY4NGMxYWI0ZDQy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=d7c16504dfea031e&srepoch=1782656527&from=searchresults,9.1,N/A,7,49.8941708,2.2956951
Amiens,La Clé de Julian,https://www.booking.com/hotel/fr/la-cle-de-julian.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AonchNIGwAIB0gIkZWYwNjNkNGYtMWY1NS00NGMzLWE5NjUtOGY4NGMxYWI0ZDQy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=d7c16504dfea031e&srepoch=1782656527&from=searchresults,8.8,N/A,7,49.8941708,2.2956951
Lille,Appartements de Louise,https://www.booking.com/hotel/fr/appartements-de-louise.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCotyE0gbAAgHSAiQ1ZjQwODNhNy1hODJiLTRkZDgtYTQwMS02ODU2ZDYyMWZhNWHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=190c6511b7650273&srepoch=1782656552&from=searchresults,8.8,N/A,8,50.6365654,3.0635282
Lille,Hotel Chagnot,https://www.booking.com/hotel/fr/hotel-balladins-superior-lille-centre.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCotyE0gbAAgHSAiQ1ZjQwODNhNy1hODJiLTRkZDgtYTQwMS02ODU2ZDYyMWZhNWHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=190c6511b7650273&srepoch=1782656552&from=searchresults,8.1,N/A,8,50.6360459,3.0691899
