city,hotel_name,url,rating,description,city_id
Le Havre,"The Originals Boutique, Hôtel d'Angleterre, Le Havre, centre, plage",https://www.booking.com/hotel/fr/comfort-d-angleterre.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC_bPr0QbAAgHSAiQ0Nzk1NDBkYS03MDg0LTQwZmItOTcyMy1jYmU3NWU4ZmVhZGTYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=283786be0990076e&srepoch=1782241795&from=searchresults,7.4,N/A,4
Le Havre,Résidence GABRIELLE,https://www.booking.com/hotel/fr/residence-gabrielle-le-havre.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC_bPr0QbAAgHSAiQ0Nzk1NDBkYS03MDg0LTQwZmItOTcyMy1jYmU3NWU4ZmVhZGTYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=283786be0990076e&srepoch=1782241795&from=searchresults,8.7,N/A,4
Rouen,Eaux Spa,https://www.booking.com/hotel/fr/eaux-spa.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCl7Tr0QbAAgHSAiQ3MDYwOGU0ZC03NDAzLTQ4OGQtYTVjYy02ZDY4ZWVhOTk0MDHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=525286cb45bb0091&srepoch=1782241821&from=searchresults,8.2,N/A,5
Rouen,Appartement confortable et élégant en centre ville,https://www.booking.com/hotel/fr/appartement-confortable-et-elegant-en-centre-ville.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCl7Tr0QbAAgHSAiQ3MDYwOGU0ZC03NDAzLTQ4OGQtYTVjYy02ZDY4ZWVhOTk0MDHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=525286cb45bb0091&srepoch=1782241821&from=searchresults,9.3,N/A,5
Rouen,Le Vieux Carré,https://www.booking.com/hotel/fr/le-vieux-carre.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCl7Tr0QbAAgHSAiQ3MDYwOGU0ZC03NDAzLTQ4OGQtYTVjYy02ZDY4ZWVhOTk0MDHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=525286cb45bb0091&srepoch=1782241821&from=searchresults,8.2,N/A,5
Paris,voco Paris Montparnasse by IHG,https://www.booking.com/hotel/fr/holiday-inn-paris-montparnasse-maine.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCsLTr0QbAAgHSAiQ1NDNjNGRiNy01ZDczLTQ3ZDQtOTcyMC05MjE1Y2VlYjllYmTYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=6cd986d85da4085f&srepoch=1782241846&from_sustainable_property_sr=1&from=searchresults,8.4,N/A,6
Paris,Hilton Paris Opera,https://www.booking.com/hotel/fr/hilton-paris-opera.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCsLTr0QbAAgHSAiQ1NDNjNGRiNy01ZDczLTQ3ZDQtOTcyMC05MjE1Y2VlYjllYmTYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=6cd986d85da4085f&srepoch=1782241846&from_sustainable_property_sr=1&from=searchresults,7.6,N/A,6
Paris,Champs Elysees Chic and Vibrant Studio,https://www.booking.com/hotel/fr/champs-elysees-chic-and-vibrant-studio.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCsLTr0QbAAgHSAiQ1NDNjNGRiNy01ZDczLTQ3ZDQtOTcyMC05MjE1Y2VlYjllYmTYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6cd986d85da4085f&srepoch=1782241846&from=searchresults,0.0,N/A,6
Amiens,LE CANGE,https://www.booking.com/hotel/fr/le-cange.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asm069EGwAIB0gIkZjljNTY1YWItNDdmYi00MzU0LTkxN2QtMzMzYjIyYzY0NzQ02AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=ef6586e403c2026d&srepoch=1782241871&from=searchresults,9.4,N/A,7
Amiens,ibis Styles Amiens Centre,https://www.booking.com/hotel/fr/ibis-styles-amiens-centre.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asm069EGwAIB0gIkZjljNTY1YWItNDdmYi00MzU0LTkxN2QtMzMzYjIyYzY0NzQ02AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=ef6586e403c2026d&srepoch=1782241871&from_sustainable_property_sr=1&from=searchresults,8.5,N/A,7
